dyad_season_year,dyad_ID,ID1,ID2,PackID,Species1,species2,coyote,wolf,GW,EW,RW,Mixed,SA,season,season2,den,rend,winter,Cohesion,LoCoOL,KernelOL,Adult
BW1734_BW1736_winter_2017_2018,BW1734_BW1736,BW1734,BW1736,Petroglyph,coyote,coyote,1,0,0,0,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.140282132,0.771325151,0.953928629,0
C160_C161_winter_2018_2019,C160_C161,C160,C161,Elysian,coyote,coyote,1,0,0,0,0,0,California_LosAngeles,winter,winter,0,0,1,0.384034166,0.832054599,0.923049646,1
c164_c516_den_2013,c164_c516,c164,c516,PC NE,coyote,coyote,1,0,0,0,0,0,Illinois_W_Chicago,den,nw,1,0,0,0.086044071,0.849418375,0.950422189,1
c164_c516_rend_2013,c164_c516,c164,c516,PC NE,coyote,coyote,1,0,0,0,0,0,Illinois_W_Chicago,rend,nw,0,1,0,0.33975098,0.83727666,0.973500299,1
c2023_c2026_den_2009,c2023_c2026,c2023,c2026,suzie pasture,coyote,coyote,1,0,0,0,0,0,Texas_W,den,nw,1,0,0,0.1978738,0.841599537,0.957037876,0
c21_c23_winter_2011_2012,c21_c23,c21,c23,Edmonton,coyote,coyote,1,0,0,0,0,0,Alberta_Edmonton,winter,winter,0,0,1,0.087982587,0.452100578,0.747575301,1
c30027_c30231_rend_2011,c30027_c30231,c30027,c30231,Oneilwoods,coyote,coyote,1,0,0,0,0,0,Ohio_N_Akron,rend,nw,0,1,0,0.181639473,0.750697177,0.935151385,1
c30027_c30231_winter_2010_2011,c30027_c30231,c30027,c30231,Oneilwoods,coyote,coyote,1,0,0,0,0,0,Ohio_N_Akron,winter,winter,0,0,1,0.23481285,0.75405629,0.905550259,1
c361_c801_den_2014,c361_c801,c361,c801,jackpack1,coyote,coyote,1,0,0,0,0,0,Nevada,den,nw,1,0,0,0.216589862,0.740823022,0.938319406,1
c361_c801_rend_2014,c361_c801,c361,c801,jackpack1,coyote,coyote,1,0,0,0,0,0,Nevada,rend,nw,0,1,0,0.361556064,0.759452441,0.984958689,1
c361_c801_winter_2013_2014,c361_c801,c361,c801,jackpack1,coyote,coyote,1,0,0,0,0,0,Nevada,winter,winter,0,0,1,0.422018349,0.733851708,0.978151424,1
c361_c801_winter_2014_2015,c361_c801,c361,c801,jackpack1,coyote,coyote,1,0,0,0,0,0,Nevada,winter,winter,0,0,1,0.715667311,0.892496548,0.994560452,1
c446_c448_den_2011,c446_c448,c446,c448,PC NE,coyote,coyote,1,0,0,0,0,0,Illinois_W_Chicago,den,nw,1,0,0,0.154611915,0.571432807,0.920035171,1
c446_c448_rend_2011,c446_c448,c446,c448,PC NE,coyote,coyote,1,0,0,0,0,0,Illinois_W_Chicago,rend,nw,0,1,0,0.134157692,0.554230495,0.8489471,1
c46F_c47M_winter_2012_2013,c46F_c47M,c46F,c47M,DenaliCoy1,coyote,coyote,1,0,0,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.333333333,0.631702485,0.884902136,1
c49F_c48M_den_2013,c49F_c48M,c49F,c48M,DenaliCoy2,coyote,coyote,1,0,0,0,0,0,Alaska_Denali,den,nw,1,0,0,0.1875,0.69737927,0.958174519,1
c49F_c48M_rend_2013,c49F_c48M,c49F,c48M,DenaliCoy2,coyote,coyote,1,0,0,0,0,0,Alaska_Denali,rend,nw,0,1,0,0.163265306,0.642234408,0.973470356,1
c49F_c48M_winter_2012_2013,c49F_c48M,c49F,c48M,DenaliCoy2,coyote,coyote,1,0,0,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.431818182,0.655667989,0.959102462,1
c971_c972_den_2016,c971_c972,c971,c972,west chicago,coyote,coyote,1,0,0,0,0,0,Illinois_E_Chicago,den,nw,1,0,0,0.527888446,0.505924126,0.929728059,1
c971_c972_winter_2015_2016,c971_c972,c971,c972,west chicago,coyote,coyote,1,0,0,0,0,0,Illinois_E_Chicago,winter,winter,0,0,1,0.580289093,0.727530915,0.983739092,1
CRG_URS_winter_2008_2009,CRG_URS,CRG,URS,Caltrans,coyote,coyote,1,0,0,0,0,0,California_N_Corona,winter,winter,0,0,1,0.153846154,0.559639352,0.822138291,1
GA03F_GA21M_den_2015,GA03F_GA21M,GA03F,GA21M,Soap Creek,coyote,coyote,1,0,0,0,0,0,Georgia_Lincolnton,den,nw,1,0,0,0.11409396,0.656605719,0.915002756,0
GA03F_GA21M_rend_2015,GA03F_GA21M,GA03F,GA21M,Soap Creek,coyote,coyote,1,0,0,0,0,0,Georgia_Lincolnton,rend,nw,0,1,0,0.068259386,0.651097279,0.942849152,0
GA03F_GA21M_winter_2014_2015,GA03F_GA21M,GA03F,GA21M,Soap Creek,coyote,coyote,1,0,0,0,0,0,Georgia_Lincolnton,winter,winter,0,0,1,0.076335878,0.362541654,0.833161463,0
GA04M_GA13F_winter_2014_2015,GA04M_GA13F,GA04M,GA13F,Burks Mountain,coyote,coyote,1,0,0,0,0,0,Georgia_N_Augusta,winter,winter,0,0,1,0.288503254,0.82091572,0.946611802,1
GA04M_GA14M_den_2015,GA04M_GA14M,GA04M,GA14M,Burks Mountain,coyote,coyote,1,0,0,0,0,0,Georgia_N_Augusta,den,nw,1,0,0,0.058252427,0.217971136,0.621043136,1
GA04M_GA14M_winter_2014_2015,GA04M_GA14M,GA04M,GA14M,Burks Mountain,coyote,coyote,1,0,0,0,0,0,Georgia_N_Augusta,winter,winter,0,0,1,0.323076923,0.861525239,0.971277314,1
GA13F_GA14M_den_2015,GA13F_GA14M,GA13F,GA14M,Burks Mountain,coyote,coyote,1,0,0,0,0,0,Georgia_N_Augusta,den,nw,1,0,0,0.266903915,0.769800956,0.957807124,1
GA13F_GA14M_rend_2015,GA13F_GA14M,GA13F,GA14M,Burks Mountain,coyote,coyote,1,0,0,0,0,0,Georgia_N_Augusta,rend,nw,0,1,0,0.22,0.753877212,0.95722112,1
GA13F_GA14M_winter_2014_2015,GA13F_GA14M,GA13F,GA14M,Burks Mountain,coyote,coyote,1,0,0,0,0,0,Georgia_N_Augusta,winter,winter,0,0,1,0.474437628,0.84226608,0.963082492,1
GA32F_GA35M_rend_2016,GA32F_GA35M,GA32F,GA35M,Kitchens,coyote,coyote,1,0,0,0,0,0,Georgia_W_Augusta,rend,nw,0,1,0,0.632986627,0.902030751,0.992793149,1
GA32F_GA35M_winter_2016_2017,GA32F_GA35M,GA32F,GA35M,Kitchens,coyote,coyote,1,0,0,0,0,0,Georgia_W_Augusta,winter,winter,0,0,1,0.522648084,0.67080449,0.951647695,1
MIS11_MIS13_winter_2013_2014,MIS11_MIS13,MIS11,MIS13,Credit Valley,coyote,coyote,1,0,0,0,0,0,Ontario_Toronto,winter,winter,0,0,1,0.098475967,0.677630744,0.885500191,0
PEC001_PEC002_rend_2010,PEC001_PEC002,PEC001,PEC002,group1,coyote,coyote,1,0,0,0,0,0,Ontario_PrinceEdward,rend,nw,0,1,0,0.120857058,0.622797307,0.937476501,0
PEC001_PEC002_winter_2010_2011,PEC001_PEC002,PEC001,PEC002,group1,coyote,coyote,1,0,0,0,0,0,Ontario_PrinceEdward,winter,winter,0,0,1,0.238254759,0.653549618,0.918342965,0
PEC074_PEC079_den_2012,PEC074_PEC079,PEC074,PEC079,group2,coyote,coyote,1,0,0,0,0,0,Ontario_PrinceEdward,den,nw,1,0,0,0.095360825,0.482574364,0.927855605,0
PEC074_PEC079_rend_2012,PEC074_PEC079,PEC074,PEC079,group2,coyote,coyote,1,0,0,0,0,0,Ontario_PrinceEdward,rend,nw,0,1,0,0.171461231,0.667302517,0.933164595,0
PEC074_PEC079_winter_2011_2012,PEC074_PEC079,PEC074,PEC079,group2,coyote,coyote,1,0,0,0,0,0,Ontario_PrinceEdward,winter,winter,0,0,1,0.121651746,0.621247655,0.79591779,0
PEC074_PEC082_den_2012,PEC074_PEC082,PEC074,PEC082,group2,coyote,coyote,1,0,0,0,0,0,Ontario_PrinceEdward,den,nw,1,0,0,0.159898477,0.34963627,0.813528822,0
PEC074_PEC082_rend_2012,PEC074_PEC082,PEC074,PEC082,group2,coyote,coyote,1,0,0,0,0,0,Ontario_PrinceEdward,rend,nw,0,1,0,0.189104222,0.626786,0.907738595,0
PEC074_PEC082_winter_2011_2012,PEC074_PEC082,PEC074,PEC082,group2,coyote,coyote,1,0,0,0,0,0,Ontario_PrinceEdward,winter,winter,0,0,1,0.126767361,0.684247101,0.853073414,0
PEC079_PEC082_den_2012,PEC079_PEC082,PEC079,PEC082,group2,coyote,coyote,1,0,0,0,0,0,Ontario_PrinceEdward,den,nw,1,0,0,0.226666667,0.481257846,0.884102795,0
PEC079_PEC082_rend_2012,PEC079_PEC082,PEC079,PEC082,group2,coyote,coyote,1,0,0,0,0,0,Ontario_PrinceEdward,rend,nw,0,1,0,0.276669716,0.637093994,0.946711606,0
PEC079_PEC082_winter_2011_2012,PEC079_PEC082,PEC079,PEC082,group2,coyote,coyote,1,0,0,0,0,0,Ontario_PrinceEdward,winter,winter,0,0,1,0.273178048,0.776804503,0.959141111,0
PEC080_PEC088_den_2012,PEC080_PEC088,PEC080,PEC088,group3,coyote,coyote,1,0,0,0,0,0,Ontario_PrinceEdward,den,nw,1,0,0,0.104499722,0.65748049,0.936352105,0
PEC080_PEC088_rend_2012,PEC080_PEC088,PEC080,PEC088,group3,coyote,coyote,1,0,0,0,0,0,Ontario_PrinceEdward,rend,nw,0,1,0,0.079507774,0.449853881,0.831433574,0
PEC080_PEC088_winter_2011_2012,PEC080_PEC088,PEC080,PEC088,group3,coyote,coyote,1,0,0,0,0,0,Ontario_PrinceEdward,winter,winter,0,0,1,0.120407798,0.704981325,0.940177289,0
PEC081_PEC131_winter_2012_2013,PEC081_PEC131,PEC081,PEC131,group4,coyote,coyote,1,0,0,0,0,0,Ontario_PrinceEdward,winter,winter,0,0,1,0.091849752,0.500523498,0.873623555,0
PEC105_PEC106_rend_2012,PEC105_PEC106,PEC105,PEC106,group5,coyote,coyote,1,0,0,0,0,0,Ontario_PrinceEdward,rend,nw,0,1,0,0.393782383,0.850816145,0.987532977,1
PEC105_PEC106_winter_2012_2013,PEC105_PEC106,PEC105,PEC106,group5,coyote,coyote,1,0,0,0,0,0,Ontario_PrinceEdward,winter,winter,0,0,1,0.676428078,0.875544729,0.990508859,1
pmC028_pmC029_winter_2012_2013,pmC028_pmC029,pmC028,pmC029,MahoneyP2,coyote,coyote,1,0,0,0,0,0,Utah,winter,winter,0,0,1,0.278688525,0.505725263,0.742314171,1
pmC028_pmC029_winter_2013_2014,pmC028_pmC029,pmC028,pmC029,MahoneyP2,coyote,coyote,1,0,0,0,0,0,Utah,winter,winter,0,0,1,0.571808511,0.861184839,0.989766098,1
SC08M_SC11M_den_2015,SC08M_SC11M,SC08M,SC11M,Gaston,coyote,coyote,1,0,0,0,0,0,SouthCarolina_McCormick,den,nw,1,0,0,0.051446945,0.456446695,0.839601125,0
SC08M_SC11M_rend_2015,SC08M_SC11M,SC08M,SC11M,Gaston,coyote,coyote,1,0,0,0,0,0,SouthCarolina_McCormick,rend,nw,0,1,0,0.132420091,0.631715549,0.906907694,0
SC08M_SC11M_winter_2014_2015,SC08M_SC11M,SC08M,SC11M,Gaston,coyote,coyote,1,0,0,0,0,0,SouthCarolina_McCormick,winter,winter,0,0,1,0.07518797,0.538844179,0.752229391,0
SC10F_SC13M_den_2015,SC10F_SC13M,SC10F,SC13M,Clayton,coyote,coyote,1,0,0,0,0,0,SouthCarolina_McCormick,den,nw,1,0,0,0.528358209,0.84125657,0.98944249,0
