dyad_season_year,dyad_ID,PackID,species,SA,season,season2,den,rend,winter,Cohesion,BreedPair,sex_combo.1,FF,MM,FM,Same,LargePred,Exploit,largeprey,SE,NE,West,Human,PCV,Long,Lat
AL46F_AL47M_winter_2015_2016,AL46F_AL47M,Parker Hill,coyote,Alabama_Troy,winter,winter,0,0,1,0.723897912,1,female_male,0,0,1,0,0,1,1,1,0,0,0.353869905,2.275626301,-85.92154214,31.73500404
AL48M_AL53M_winter_2015_2016,AL48M_AL53M,Childs,coyote,Alabama_Troy,winter,winter,0,0,1,0.120822622,0,male_male,0,1,0,1,0,1,1,1,0,0,0.332245853,2.270341708,-85.98250814,31.9004736
AL48M_AL54F_winter_2015_2016,AL48M_AL54F,Childs,coyote,Alabama_Troy,winter,winter,0,0,1,0.06360424,0,female_male,0,0,1,0,0,1,1,1,0,0,0.34257308,2.228321959,-85.98625519,31.90478838
ANG_MLX_winter_2006_2007,ANG_MLX,ET,coyote,California_S_Corona,winter,winter,0,0,1,0.175305148,0,male_male,0,1,0,1,1,0,0,0,0,1,0.571267423,3.998039681,-117.708002,33.68044538
ANG_SCH_winter_2006_2007,ANG_SCH,ET,coyote,California_S_Corona,winter,winter,0,0,1,0.248504879,0,male_male,0,1,0,1,1,0,0,0,0,1,0.560867446,4.158578874,-117.7072444,33.68057101
ART_CIF_den_2009,ART_CIF,Caltrans,coyote,California_N_Corona,den,nw,1,0,0,0.241488879,0,male_male,0,1,0,1,1,0,0,0,0,1,0.671476053,4.810079389,-117.6239783,33.88934699
ART_CIF_rend_2009,ART_CIF,Caltrans,coyote,California_N_Corona,rend,nw,0,1,0,0.146422629,0,male_male,0,1,0,1,1,0,0,0,0,1,0.703379587,4.787199411,-117.6216452,33.8889189
ART_CIF_winter_2008_2009,ART_CIF,Caltrans,coyote,California_N_Corona,winter,winter,0,0,1,0.229418222,0,male_male,0,1,0,1,1,0,0,0,0,1,0.681629207,4.665616271,-117.6242883,33.88872993
bonnie_clyde_den_2010,bonnie_clyde,Sachuest,coyote,Rhode_Island,den,nw,1,0,0,0.083074534,1,female_male,0,0,1,0,0,0,1,0,1,0,0.561993935,2.498322118,-71.24688241,41.51078158
bonnie_clyde_rend_2010,bonnie_clyde,Sachuest,coyote,Rhode_Island,rend,nw,0,1,0,0.158923144,1,female_male,0,0,1,0,0,0,1,0,1,0,0.557017981,2.427671722,-71.24659015,41.51235093
bonnie_clyde_winter_2009_2010,bonnie_clyde,Sachuest,coyote,Rhode_Island,winter,winter,0,0,1,0.193111931,1,female_male,0,0,1,0,0,0,1,0,1,0,0.56826622,2.405343902,-71.2475898,41.51743549
BW1731_BW1734_winter_2017_2018,BW1731_BW1734,Petroglyph,coyote,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.193732194,0,female_male,0,0,1,0,1,1,1,0,1,0,0.116053192,1.776744623,-78.07062043,44.64042397
BW1731_BW1736_winter_2017_2018,BW1731_BW1736,Petroglyph,coyote,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.157088123,0,female_male,0,0,1,0,1,1,1,0,1,0,0.12127642,1.762788123,-78.07763505,44.63759928
BW1734_BW1736_winter_2017_2018,BW1734_BW1736,Petroglyph,coyote,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.140282132,0,female_female,1,0,0,1,1,1,1,0,1,0,0.113483179,1.76627986,-78.06096874,44.63565924
c164_c516_den_2013,c164_c516,PC NE,coyote,Illinois_W_Chicago,den,nw,1,0,0,0.086044071,1,female_male,0,0,1,0,0,0,0,0,1,0,0.597254398,2.314834326,-88.17392742,42.05712456
c164_c516_rend_2013,c164_c516,PC NE,coyote,Illinois_W_Chicago,rend,nw,0,1,0,0.33975098,1,female_male,0,0,1,0,0,0,0,0,1,0,0.599973925,2.214194299,-88.17139685,42.05740535
c2023_c2026_den_2009,c2023_c2026,suzie pasture,coyote,Texas_W,den,nw,1,0,0,0.1978738,0,male_male,0,1,0,1,0,0,0,0,0,1,0.301120572,3.575430612,-100.5539646,32.7287678
c21_c23_winter_2011_2012,c21_c23,Edmonton,coyote,Alberta_Edmonton,winter,winter,0,0,1,0.087982587,0,female_female,1,0,0,1,0,0,0,0,0,1,0.932641054,2.240720139,-113.4118982,53.50090052
c30027_c30231_rend_2011,c30027_c30231,Oneilwoods,coyote,Ohio_N_Akron,rend,nw,0,1,0,0.181639473,0,female_male,0,0,1,0,0,1,1,0,1,0,0.458697877,1.771746212,-81.58484105,41.16816248
c30027_c30231_winter_2010_2011,c30027_c30231,Oneilwoods,coyote,Ohio_N_Akron,winter,winter,0,0,1,0.23481285,0,female_male,0,0,1,0,0,1,1,0,1,0,0.476452632,1.905566561,-81.58112096,41.16415481
c361_c801_den_2014,c361_c801,jackpack1,coyote,Nevada,den,nw,1,0,0,0.216589862,1,female_male,0,0,1,0,1,1,0,0,0,1,0.007917599,2.960968323,-116.519332,39.34406908
c361_c801_rend_2014,c361_c801,jackpack1,coyote,Nevada,rend,nw,0,1,0,0.361556064,1,female_male,0,0,1,0,1,1,0,0,0,1,0.007783522,3.041518837,-116.5209367,39.34251255
c361_c801_winter_2013_2014,c361_c801,jackpack1,coyote,Nevada,winter,winter,0,0,1,0.422018349,1,female_male,0,0,1,0,1,1,0,0,0,1,0.006499033,2.961917438,-116.5367164,39.33752946
c361_c801_winter_2014_2015,c361_c801,jackpack1,coyote,Nevada,winter,winter,0,0,1,0.715667311,1,female_male,0,0,1,0,1,1,0,0,0,1,0.006109673,2.636648931,-116.540977,39.33477019
c446_c448_den_2011,c446_c448,PC NE,coyote,Illinois_W_Chicago,den,nw,1,0,0,0.154611915,0,male_male,0,1,0,1,0,0,0,0,1,0,0.639024661,1.952103704,-88.16594049,42.06030145
c446_c448_rend_2011,c446_c448,PC NE,coyote,Illinois_W_Chicago,rend,nw,0,1,0,0.134157692,0,male_male,0,1,0,1,0,0,0,0,1,0,0.662037673,1.874911482,-88.16111132,42.06096901
c46F_c47M_winter_2012_2013,c46F_c47M,DenaliCoy1,coyote,Alaska_Denali,winter,winter,0,0,1,0.333333333,1,female_male,0,0,1,0,1,0,1,0,0,1,1.67E-05,1.789607321,-149.5117624,63.76243657
c49F_c48M_den_2013,c49F_c48M,DenaliCoy2,coyote,Alaska_Denali,den,nw,1,0,0,0.1875,1,female_male,0,0,1,0,1,0,1,0,0,1,0.044021341,1.981887484,-149.0745513,63.80426435
c49F_c48M_rend_2013,c49F_c48M,DenaliCoy2,coyote,Alaska_Denali,rend,nw,0,1,0,0.163265306,1,female_male,0,0,1,0,1,0,1,0,0,1,0.060065133,2.259024802,-149.0871883,63.81651763
c49F_c48M_winter_2012_2013,c49F_c48M,DenaliCoy2,coyote,Alaska_Denali,winter,winter,0,0,1,0.431818182,1,female_male,0,0,1,0,1,0,1,0,0,1,0.055176945,1.78288313,-149.0700167,63.80871536
c971_c972_den_2016,c971_c972,west chicago,coyote,Illinois_E_Chicago,den,nw,1,0,0,0.527888446,1,female_male,0,0,1,0,0,0,0,0,1,0,0.95699356,2.063696924,-87.7399197,41.89831846
c971_c972_winter_2015_2016,c971_c972,west chicago,coyote,Illinois_E_Chicago,winter,winter,0,0,1,0.580289093,1,female_male,0,0,1,0,0,0,0,0,1,0,0.949701906,2.022201978,-87.74159538,41.90309278
GA03F_GA21M_den_2015,GA03F_GA21M,Soap Creek,coyote,Georgia_Lincolnton,den,nw,1,0,0,0.11409396,0,female_male,0,0,1,0,0,1,1,1,0,0,0.328658557,2.537374688,-82.43443198,33.82136457
GA03F_GA21M_rend_2015,GA03F_GA21M,Soap Creek,coyote,Georgia_Lincolnton,rend,nw,0,1,0,0.068259386,0,female_male,0,0,1,0,0,1,1,1,0,0,0.342684841,2.663233818,-82.43800772,33.81647136
GA03F_GA21M_winter_2014_2015,GA03F_GA21M,Soap Creek,coyote,Georgia_Lincolnton,winter,winter,0,0,1,0.076335878,0,female_male,0,0,1,0,0,1,1,1,0,0,0.339316602,2.62907816,-82.43791578,33.8175542
