dyad_season_year,dyad_ID,PackID,Species1,Species2,GW,EW,RW,Mixed,SA,season,season2,den,rend,winter,Cohesion,Adult,Exploit,LargePred,Prey,Beaver,PackSize,Human,PCV,Long,Lat
BW1501_BW1602_winter_2016_2017,BW1501_BW1602,Grant Creek,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.842880524,0,0,1,1,1,12,0.003752064,1.92663479,-149.2670738,63.47692102
BW1404_BW1602_winter_2016_2017,BW1404_BW1602,Grant Creek,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.869742198,0,0,1,1,1,12,0.00439904,1.941396242,-149.1869867,63.48098618
Mich02_Mich06_winter_2016_2017,Mich02_Mich06,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.317518248,1,0,0,0,1,11,0.004355189,2.044789547,-85.7915905,47.74245757
Mich02_Mich05_winter_2016_2017,Mich02_Mich05,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.246753247,1,0,0,0,1,11,0.005398971,2.045085641,-85.78834188,47.74264536
Mich02_Mich03_winter_2016_2017,Mich02_Mich03,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.953125,1,0,0,0,1,11,0.007498043,2.096368587,-85.79189975,47.74037723
Mich05_Mich06_winter_2016_2017,Mich05_Mich06,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.243250589,1,0,0,0,1,11,0.00582432,2.113225894,-85.79041755,47.74035008
Mich01_Mich02_winter_2016_2017,Mich01_Mich02,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.851817729,1,0,0,0,1,11,0.007179372,2.113968893,-85.78879104,47.74048916
Mich01_Mich03_winter_2016_2017,Mich01_Mich03,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.869738085,1,0,0,0,1,11,0.007494403,2.115811095,-85.79227759,47.74193781
Mich02_Mich06_den_2017,Mich02_Mich06,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,den,nw,1,0,0,0.08362909,1,0,0,0,1,11,0.003598314,2.005371072,-85.77506449,47.73954967
Mich02_Mich03_rend_2016,Mich02_Mich03,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,rend,nw,0,1,0,0.613321399,1,0,0,0,1,11,0.004274169,2.122358927,-85.79891587,47.7436682
Mich01_Mich03_rend_2016,Mich01_Mich03,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,rend,nw,0,1,0,0.621635802,1,0,0,0,1,11,0.003840968,2.122674516,-85.80362344,47.74230899
Mich01_Mich02_rend_2016,Mich01_Mich02,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,rend,nw,0,1,0,0.624969136,1,0,0,0,1,11,0.003574117,2.124336975,-85.80409791,47.74429214
Mich01_Mich04_rend_2016,Mich01_Mich04,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,rend,nw,0,1,0,0.368283301,1,0,0,0,1,11,0.003281222,2.179814922,-85.79540706,47.73832644
Mich03_Mich04_rend_2016,Mich03_Mich04,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,rend,nw,0,1,0,0.344017094,1,0,0,0,1,11,0.003021139,2.180149381,-85.79462432,47.73938107
Mich02_Mich04_rend_2016,Mich02_Mich04,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,rend,nw,0,1,0,0.402569593,1,0,0,0,1,11,0.003629305,2.181248468,-85.79626626,47.73870543
ER_W_48_ER_W_50_winter_2018_2019,ER_W_48_ER_W_50,Smoky,GW,wolf,1,0,0,0,Manitoba_E_Winnipeg,winter,winter,0,0,1,0.448543689,1,1,1,1,1,11,0.001946084,2.310236981,-95.63573383,50.61525073
ER_W_48_ER_W_50_den_2019,ER_W_48_ER_W_50,Smoky,GW,wolf,1,0,0,0,Manitoba_E_Winnipeg,den,nw,1,0,0,0.200351494,1,1,1,1,1,11,0.001965344,2.17887641,-95.59035099,50.61607377
rw11421M_rw11544M_winter_2008_2009,rw11421M_rw11544M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.18728865,1,1,1,0,1,11,0.214900689,2.212723617,-75.87629959,35.85156416
rw11357F_rw11421M_winter_2008_2009,rw11357F_rw11421M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.31496063,1,1,1,0,1,11,0.207632003,2.212723617,-75.8852017,35.8559625
rw11357F_rw11544M_winter_2008_2009,rw11357F_rw11544M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.642256536,1,1,1,0,1,11,0.205641143,2.269597197,-75.87510455,35.84999562
rw11544M_rw11660F_winter_2009_2010,rw11544M_rw11660F,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.22510488,1,1,1,0,1,11,0.259077977,2.298700057,-75.86713226,35.84812429
rw11544M_rw11661M_winter_2009_2010,rw11544M_rw11661M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.160725149,1,1,1,0,1,11,0.259720404,2.299263125,-75.85470116,35.84445586
rw11660F_rw11661M_winter_2009_2010,rw11660F_rw11661M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.272627084,1,1,1,0,1,11,0.281303661,2.299263125,-75.84158272,35.83963626
rw11421M_rw11660F_winter_2008_2009,rw11421M_rw11660F,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.108695652,0,1,1,0,1,11,0.284591088,2.212723617,-75.85973491,35.84543471
rw11357F_rw11660F_winter_2008_2009,rw11357F_rw11660F,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.102702703,0,1,1,0,1,11,0.230273304,2.268814194,-75.85263936,35.84360104
rw11357F_rw11661M_winter_2008_2009,rw11357F_rw11661M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.091900171,0,1,1,0,1,11,0.234829664,2.268814211,-75.85065847,35.84234746
rw11421M_rw11661M_winter_2008_2009,rw11421M_rw11661M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.137168503,0,1,1,0,1,11,0.257251706,2.269597197,-75.86241393,35.84772852
rw11544M_rw11661M_winter_2008_2009,rw11544M_rw11661M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.143624837,0,1,1,0,1,11,0.221044761,2.30694564,-75.85640032,35.84175289
rw11544M_rw11660F_winter_2008_2009,rw11544M_rw11660F,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.202472365,0,1,1,0,1,11,0.251148862,2.30694564,-75.85278208,35.84233094
rw11660F_rw11661M_winter_2008_2009,rw11660F_rw11661M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,winter,winter,0,0,1,0.307112731,0,1,1,0,1,11,0.258062728,2.30694564,-75.8359295,35.83881111
rw11544M_rw11661M_den_2009,rw11544M_rw11661M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,den,nw,1,0,0,0.17788905,1,1,1,0,1,11,0.257292507,2.183610984,-75.87008281,35.83594681
rw11660F_rw11661M_den_2009,rw11660F_rw11661M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,den,nw,1,0,0,0.212584476,1,1,1,0,1,11,0.280864274,2.183610984,-75.85069684,35.84267039
rw11421M_rw11661M_den_2009,rw11421M_rw11661M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,den,nw,1,0,0,0.128205128,1,1,1,0,1,11,0.276767496,2.188434091,-75.86237353,35.84682438
rw11544M_rw11660F_den_2009,rw11544M_rw11660F,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,den,nw,1,0,0,0.232931727,1,1,1,0,1,11,0.254038347,2.188434091,-75.88029204,35.85201262
rw11357F_rw11421M_den_2009,rw11357F_rw11421M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,den,nw,1,0,0,0.272727273,1,1,1,0,1,11,0.265808553,2.205269475,-75.88117991,35.85272418
rw11421M_rw11544M_den_2009,rw11421M_rw11544M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,den,nw,1,0,0,0.393939394,1,1,1,0,1,11,0.258710153,2.208688673,-75.89202479,35.8547343
rw11421M_rw11660F_den_2009,rw11421M_rw11660F,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,den,nw,1,0,0,0.222222222,1,1,1,0,1,11,0.24671983,2.210425643,-75.87561779,35.85180085
rw11421M_rw11661M_rend_2009,rw11421M_rw11661M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,rend,nw,0,1,0,0.162453184,1,1,1,0,1,11,0.256618213,2.296416674,-75.85519281,35.8464553
rw11421M_rw11544M_rend_2009,rw11421M_rw11544M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,rend,nw,0,1,0,0.252767359,1,1,1,0,1,11,0.271347522,2.311058417,-75.86986527,35.85070569
rw11544M_rw11660F_rend_2009,rw11544M_rw11660F,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,rend,nw,0,1,0,0.096926489,1,1,1,0,1,11,0.269068702,2.327307832,-75.86413033,35.84711192
rw11660F_rw11661M_rend_2009,rw11660F_rw11661M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,rend,nw,0,1,0,0.118098987,1,1,1,0,1,11,0.27965878,2.327307832,-75.84340838,35.84152774
rw11544M_rw11661M_rend_2009,rw11544M_rw11661M,Milltail,RW,wolf,0,0,1,0,NorthCarolina_AlligatorNWR,rend,nw,0,1,0,0.153695329,1,1,1,0,1,11,0.257857289,2.327307832,-75.85743475,35.846081
w65_w77_winter_2003_2004,w65_w77,Ya Ha Tinda,GW,wolf,1,0,0,0,Alberta_W_YaHaTinda,winter,winter,0,0,1,0.421792619,0,1,1,1,1,11,0.046150274,2.107876513,-115.6563646,51.77021483
N211_N212_winter_2003_2004,N211_N212,Brazeau,GW,wolf,1,0,0,0,Alberta_W_above,winter,winter,0,0,1,0.367184131,1,0,1,1,1,11,0.027245579,1.838791361,-116.8655928,52.63830483
