dyad_season_year,dyad_ID,PackID,Species1,Species2,GW,EW,RW,Mixed,SA,season1,season2,den,rend,winter,Cohesion,BreedPair,FF,MM,FM,Same,Exploit,LargePred,Prey,Beaver,Human,PCV,Long,Lat
JSW237_JSW241_den_2011,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,den,nw,1,0,0,0.638888889,0,0,0,1,0,1,1,1,1,1.24E-05,2.111366933,-141.9237521,65.04585293
JSW237_JSW241_rend_2009,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,rend,nw,0,1,0,0.397260274,0,0,0,1,0,1,1,1,1,1.26E-05,2.256737403,-141.8435739,65.04419427
JSW237_JSW241_rend_2010,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,rend,nw,0,1,0,0.536842105,0,0,0,1,0,1,1,1,1,2.36E-05,1.90634006,-141.9291454,64.98945604
JSW237_JSW241_rend_2011,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,rend,nw,0,1,0,0.591836735,0,0,0,1,0,1,1,1,1,3.17E-05,1.995856717,-141.9331412,65.00663928
JSW237_JSW241_winter_2008_2009,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,winter,winter,0,0,1,0.353846154,0,0,0,1,0,1,1,1,1,1.44E-05,1.894501042,-141.8348319,65.05983121
JSW237_JSW241_winter_2009_2010,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,winter,winter,0,0,1,0.315789474,0,0,0,1,0,1,1,1,1,1.35E-05,2.35137992,-141.8477978,65.05383144
JSW237_JSW241_winter_2010_2011,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,winter,winter,0,0,1,0.92972973,0,0,0,1,0,1,1,1,1,1.23E-05,1.933458959,-141.8207341,65.07617626
JSW237_JSW241_winter_2011_2012,JSW237_JSW241,Step Mountain,GW,wolf,1,0,0,0,Alaska_Yukon_Charley,winter,winter,0,0,1,0.877192982,0,0,0,1,0,1,1,1,1,1.16E-05,1.979828907,-141.7443744,65.07021875
BW811_BW1103_winter_2011_2012,BW811_BW1103,Grant Creek,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.816872428,0,0,0,1,0,0,1,1,1,0.001996633,1.675174066,-149.7193271,63.57993508
BW811_BW1103_winter_2010_2011,BW811_BW1103,Grant Creek,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.688432836,0,0,0,1,0,0,1,1,1,0.001454692,1.744572846,-149.6507872,63.61048343
BW1705_BW1706_winter_2017_2018,BW1705_BW1706,Comb,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.87804878,0,0,0,1,0,0,1,1,1,0.001252397,1.751803445,-149.5842929,64.01148936
BW1702_BW1706_winter_2017_2018,BW1702_BW1706,Comb,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.881578947,0,0,0,1,0,0,1,1,1,0.001445662,1.782477098,-149.551453,64.01102744
BW1501_BW1602_winter_2015_2016,BW1501_BW1602,Grant Creek,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.833333333,0,0,0,1,0,0,1,1,1,0.00189729,1.801379879,-149.7001765,63.53010729
BW1202_BW1601_winter_2015_2016,BW1202_BW1601,Riley Creek,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.761904762,0,0,0,1,0,0,1,1,1,0.006256655,1.920794616,-149.3063935,63.70022992
BW1501_BW1602_winter_2016_2017,BW1501_BW1602,Grant Creek,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.842880524,0,0,0,1,0,0,1,1,1,0.003752064,1.92663479,-149.2670738,63.47692102
